FSA,BEV,PHEV,TotalEV
K0A,388,257,645
K0B,49,46,95
K0C,91,76,167
K0E,75,53,128
K0G,126,71,197
K0H,109,83,192
K0J,46,50,96
K0K,244,165,409
K0L,113,91,204
K0M,66,45,111
K1A,20,50,70
K1B,41,44,85
K1C,123,96,219
K1E,34,25,59
K1G,82,84,166
K1H,74,61,135
K1J,81,75,156
K1K,90,78,168
K1L,27,39,66
K1M,55,48,103
K1N,61,55,116
K1P,17,11,28
K1R,54,33,87
K1S,173,144,317
K1T,119,68,187
K1V,163,136,299
K1W,70,33,103
K1X,25,6,31
K1Y,132,71,203
K1Z,78,53,131
K2A,121,61,182
K2B,66,51,117
K2C,92,57,149
K2E,64,55,119
K2G,167,104,271
K2H,90,68,158
K2J,273,176,449
K2K,148,87,235
K2L,49,42,91
K2M,124,91,215
K2P,41,31,72
K2R,7,6,13
K2S,196,119,315
K2T,61,37,98
K2V,58,27,85
K2W,70,20,90
K4A,216,139,355
K4B,22,21,43
K4C,35,14,49
K4K,69,40,109
K4M,133,45,178
K4P,74,35,109
K4R,26,25,51
K5M,1,,1
K6A,26,19,45
K6H,39,35,74
K6J,13,17,30
K6K,3,2,5
K6T,1,,1
K6V,38,34,72
K7A,21,15,36
K7C,56,34,90
K7G,18,11,29
K7H,53,40,93
K7K,66,42,108
K7L,108,83,191
K7M,111,86,197
K7N,14,8,22
K7P,76,44,120
K7R,25,16,41
K7S,32,16,48
K7V,16,12,28
K8A,18,23,41
K8B,,1,1
K8H,22,28,50
K8J,1,,1
K8N,57,46,103
K8P,21,26,47
K8R,8,7,15
K8V,45,38,83
K9A,66,59,125
K9H,57,42,99
K9J,83,72,155
K9K,31,20,51
K9L,18,16,34
K9V,28,19,47
L0A,53,26,79
L0B,53,38,91
L0C,26,14,40
L0E,42,30,72
L0G,193,88,281
L0H,4,9,13
L0J,59,13,72
L0K,91,54,145
L0L,179,71,250
L0M,99,39,138
L0N,11,5,16
L0P,84,22,106
L0R,344,220,564
L0S,235,146,381
L1A,38,30,68
L1B,35,21,56
L1C,146,65,211
L1E,67,49,116
L1G,62,49,111
L1H,88,43,131
L1J,75,47,122
L1K,128,53,181
L1L,60,26,86
L1M,101,47,148
L1N,171,103,274
L1P,111,53,164
L1R,156,55,211
L1S,143,85,228
L1T,188,76,264
L1V,190,86,276
L1W,67,35,102
L1X,116,29,145
L1Y,14,9,23
L1Z,149,87,236
L2A,36,26,62
L2E,26,22,48
L2G,60,37,97
L2H,83,38,121
L2J,30,19,49
L2L,,1,1
L2M,38,32,70
L2N,74,53,127
L2P,27,22,49
L2R,82,118,200
L2S,55,39,94
L2T,22,16,38
L2V,41,21,62
L2W,8,4,12
L2Y,,1,1
L3B,44,26,70
L3C,60,43,103
L3J,,5,5
L3K,30,22,52
L3L,1,,1
L3M,162,123,285
L3P,233,94,327
L3R,463,185,648
L3S,174,61,235
L3T,286,115,401
L3V,88,68,156
L3X,278,108,386
L3Y,189,133,322
L3Z,187,70,257
L4A,394,139,533
L4B,407,142,549
L4C,422,162,584
L4E,452,165,617
L4G,415,197,612
L4H,464,133,597
L4J,406,185,591
L4K,205,73,278
L4L,251,80,331
L4M,129,70,199
L4N,293,129,422
L4P,97,49,146
L4R,28,18,46
L4S,288,136,424
L4T,57,27,84
L4V,18,11,29
L4W,130,102,232
L4X,40,13,53
L4Y,51,36,87
L4Z,124,80,204
L5A,80,32,112
L5B,199,123,322
L5C,116,60,176
L5E,63,24,87
L5G,148,77,225
L5H,197,70,267
L5J,127,70,197
L5K,58,29,87
L5L,201,121,322
L5M,557,222,779
L5N,308,155,463
L5P,3,8,11
L5R,159,61,220
L5S,22,7,29
L5T,56,22,78
L5V,160,62,222
L5W,149,36,185
L5X,1,,1
L6A,541,141,682
L6B,270,61,331
L6C,557,185,742
L6E,223,79,302
L6G,48,19,67
L6H,593,289,882
L6J,387,156,543
L6K,111,110,221
L6L,306,133,439
L6M,584,260,844
L6N,1,,1
L6P,440,96,536
L6R,237,84,321
L6S,111,73,184
L6T,92,73,165
L6V,71,49,120
L6W,61,50,111
L6X,293,82,375
L6Y,405,128,533
L6Z,88,51,139
L7A,293,105,398
L7B,218,60,278
L7C,248,92,340
L7E,175,78,253
L7G,235,121,356
L7H,1,,1
L7J,62,36,98
L7K,57,21,78
L7L,279,173,452
L7M,340,169,509
L7N,92,54,146
L7P,181,98,279
L7R,98,90,188
L7S,55,39,94
L7T,105,64,169
L8B,130,70,200
L8E,153,85,238
L8G,61,32,93
L8H,34,27,61
L8J,99,59,158
L8K,46,50,96
L8L,41,35,76
L8M,23,30,53
L8N,29,25,54
L8P,72,64,136
L8R,17,12,29
L8S,37,32,69
L8T,24,26,50
L8V,20,20,40
L8W,56,40,96
L9A,54,39,93
L9B,69,57,126
L9C,100,86,186
L9E,128,32,160
L9G,164,100,264
L9H,205,143,348
L9J,16,,16
L9K,133,48,181
L9L,55,24,79
L9M,32,28,60
L9N,148,51,199
L9P,64,48,112
L9R,71,36,107
L9S,132,49,181
L9T,557,213,770
L9V,49,33,82
L9W,173,98,271
L9X,86,28,114
L9Y,122,68,190
L9Z,57,32,89
M1B,163,116,279
M1C,153,76,229
M1E,87,66,153
M1G,31,19,50
M1H,48,34,82
M1J,39,17,56
M1K,44,23,67
M1L,57,24,81
M1M,72,31,103
M1N,75,54,129
M1P,68,31,99
M1R,42,25,67
M1S,81,42,123
M1T,50,25,75
M1V,90,38,128
M1W,79,41,120
M1X,47,17,64
M2B,1,,1
M2H,77,37,114
M2J,188,90,278
M2K,106,44,150
M2L,144,44,188
M2M,121,44,165
M2N,364,172,536
M2P,92,24,116
M2R,68,47,115
M3A,218,37,255
M3B,172,58,230
M3C,109,34,143
M3H,141,58,199
M3J,82,36,118
M3K,22,8,30
M3L,24,6,30
M3M,20,12,32
M3N,21,11,32
M3R,,1,1
M4A,25,13,38
M4B,52,27,79
M4C,88,65,153
M4E,125,73,198
M4G,165,75,240
M4H,12,7,19
M4J,109,52,161
M4K,100,61,161
M4L,112,69,181
M4M,103,53,156
M4N,190,75,265
M4P,88,45,133
M4R,85,44,129
M4S,177,37,214
M4T,83,42,125
M4V,165,54,219
M4W,147,54,201
M4X,28,8,36
M4Y,67,26,93
M5A,171,54,225
M5B,31,17,48
M5C,16,7,23
M5E,64,15,79
M5G,42,32,74
M5H,61,20,81
M5J,74,31,105
M5K,4,1,5
M5L,4,,4
M5M,237,101,338
M5N,115,50,165
M5P,169,63,232
M5R,165,57,222
M5S,50,29,79
M5T,33,21,54
M5V,277,64,341
M5X,2,2,4
M6A,41,20,61
M6B,79,34,113
M6C,119,43,162
M6E,63,28,91
M6G,94,53,147
M6H,82,48,130
M6J,123,40,163
M6K,113,41,154
M6L,25,10,35
M6M,32,27,59
M6N,50,38,88
M6P,93,80,173
M6R,82,62,144
M6S,181,103,284
M6Y,1,,1
M7J,1,,1
M8V,169,73,242
M8W,90,38,128
M8X,112,41,153
M8Y,132,48,180
M8Z,156,102,258
M9A,193,102,295
M9B,167,71,238
M9C,106,49,155
M9L,27,18,45
M9M,31,8,39
M9N,33,22,55
M9P,40,14,54
M9R,48,18,66
M9V,59,38,97
M9W,100,39,139
N0A,63,43,106
N0B,429,239,668
N0C,38,18,56
N0E,55,48,103
N0G,128,92,220
N0H,149,108,257
N0J,60,40,100
N0K,21,19,40
N0L,128,96,224
N0M,112,89,201
N0N,48,47,95
N0P,67,56,123
N0R,106,110,216
N1A,23,11,34
N1C,11,17,28
N1E,138,92,230
N1G,119,78,197
N1H,129,91,220
N1K,31,21,52
N1L,105,58,163
N1M,49,34,83
N1P,20,11,31
N1R,91,68,159
N1S,67,35,102
N1T,82,37,119
N2A,111,53,164
N2B,54,26,80
N2C,33,21,54
N2E,89,42,131
N2G,62,25,87
N2H,95,47,142
N2J,89,33,122
N2K,198,90,288
N2L,159,85,244
N2M,91,52,143
N2N,52,54,106
N2P,136,61,197
N2R,96,41,137
N2S,1,,1
N2T,116,64,180
N2V,106,72,178
N2Z,39,30,69
N3A,77,59,136
N3B,38,15,53
N3C,109,67,176
N3E,17,6,23
N3G,1,,1
N3H,68,34,102
N3L,61,40,101
N3P,14,16,30
N3R,65,59,124
N3S,33,27,60
N3T,116,67,183
N3V,6,2,8
N3W,42,29,71
N3Y,33,26,59
N4B,7,6,13
N4G,34,34,68
N4K,66,65,131
N4L,15,14,29
N4N,20,13,33
N4S,60,48,108
N4T,47,28,75
N4V,9,4,13
N4W,14,10,24
N4X,19,26,45
N4Z,4,9,13
N5A,77,57,134
N5C,30,20,50
N5H,17,17,34
N5L,11,9,20
N5N,1,,1
N5P,29,31,60
N5R,35,51,86
N5V,24,32,56
N5W,25,26,51
N5X,95,68,163
N5Y,28,28,56
N5Z,19,35,54
N6A,44,31,75
N6B,12,26,38
N6C,66,54,120
N6E,11,52,63
N6G,143,118,261
N6H,96,72,168
N6J,29,33,62
N6K,112,97,209
N6L,17,12,29
N6M,16,16,32
N6N,1,,1
N6P,43,37,80
N6V,1,,1
N7A,30,25,55
N7G,30,24,54
N7L,31,24,55
N7M,37,33,70
N7S,30,33,63
N7T,17,16,33
N7V,14,7,21
N7W,3,5,8
N7X,7,3,10
N8A,7,7,14
N8H,29,29,58
N8M,12,23,35
N8N,73,46,119
N8P,25,35,60
N8R,11,20,31
N8S,18,23,41
N8T,10,14,24
N8V,1,,1
N8W,25,33,58
N8X,23,20,43
N8Y,22,15,37
N9A,12,24,36
N9B,16,16,32
N9C,6,13,19
N9E,35,38,73
N9G,31,37,68
N9H,37,37,74
N9J,58,42,100
N9K,7,7,14
N9T,1,,1
N9V,36,43,79
N9Y,34,27,61
P0A,29,16,45
P0B,39,13,52
P0C,13,9,22
P0E,5,6,11
P0G,4,4,8
P0H,25,37,62
P0J,14,17,31
P0K,3,7,10
P0L,9,16,25
P0M,31,54,85
P0N,1,2,3
P0P,8,14,22
P0R,5,5,10
P0S,9,2,11
P0T,16,34,50
P0V,2,7,9
P0W,1,1,2
P0X,8,6,14
P1A,10,13,23
P1B,29,47,76
P1C,14,5,19
P1H,43,21,64
P1L,34,27,61
P1P,17,10,27
P2A,32,12,44
P2B,9,10,19
P2N,,4,4
P3A,25,28,53
P3B,15,18,33
P3C,8,14,22
P3E,65,69,134
P3G,21,16,37
P3L,5,6,11
P3N,3,10,13
P3P,29,20,49
P3Y,8,9,17
P4N,10,18,28
P4P,2,,2
P4R,4,3,7
P5A,1,2,3
P5E,4,3,7
P5N,4,8,12
P6A,17,27,44
P6B,18,8,26
P6C,4,4,8
P7A,19,32,51
P7B,21,26,47
P7C,11,12,23
P7E,6,14,20
P7G,20,20,40
P7J,6,5,11
P7K,4,5,9
P7L,,3,3
P8N,2,7,9
P8T,3,5,8
P9A,1,5,6
P9N,11,5,16
