FSA,BEV,PHEV,TotalEV
M5C,37,10,47
M5E,75,20,95
M5G,61,46,107
M5H,87,20,107
M5J,108,34,142
M5K,6,1,7
M5L,4,,4
M5M,328,125,453
M5N,143,61,204
M5P,233,77,310
M5R,236,75,311
M5S,73,32,105
M5T,61,23,84
M5V,420,81,501
M5W,1,,1
M5X,4,2,6
M6A,59,24,83
M6B,125,46,171
M6C,177,60,237
M6E,87,28,115
M6G,140,67,207
M6H,116,54,170
M6J,162,52,214
M6K,154,48,202
M6L,33,16,49
M6M,54,31,85
M6N,65,44,109
M6P,136,88,224
M6R,107,73,180
M6S,263,134,397
M6Y,1,,1
M6Z,1,,1
M8A,1,,1
M8B,3,,3
M8V,263,79,342
M8W,139,44,183
M8X,147,55,202
M8Y,181,57,238
M8Z,276,121,397
M9A,277,117,394
M9B,230,76,306
M9C,146,69,215
M9L,54,16,70
M9M,50,11,61
M9N,66,29,95
M9P,68,21,89
M9R,64,27,91
M9V,120,40,160
M9W,813,52,865
N0A,98,58,156
N0B,653,294,947
N0C,66,27,93
N0E,91,56,147
N0G,189,106,295
N0H,247,130,377
N0J,90,60,150
N0K,34,31,65
N0L,195,106,301
N0M,207,109,316
N0N,77,61,138
N0P,93,61,154
N0R,180,154,334
N1A,29,11,40
N1C,18,22,40
N1E,198,107,305
N1G,182,86,268
N1H,189,97,286
N1K,52,20,72
N1L,169,66,235
N1M,69,46,115
N1P,32,16,48
N1R,135,62,197
N1S,105,44,149
N1T,107,37,144
N2A,169,69,238
N2B,76,32,108
N2C,59,20,79
N2E,118,51,169
N2G,78,29,107
N2H,124,60,184
N2J,125,44,169
N2K,255,100,355
N2L,208,84,292
N2M,127,59,186
N2N,88,65,153
N2P,214,75,289
N2R,148,42,190
N2S,1,,1
N2T,165,75,240
N2V,152,76,228
N2Y,1,,1
N2Z,59,34,93
N3A,126,70,196
N3B,54,25,79
N3C,169,80,249
N3E,30,7,37
N3G,1,,1
N3H,98,36,134
N3K,1,,1
N3L,88,58,146
N3M,1,,1
N3P,16,17,33
N3R,93,56,149
N3S,66,33,99
N3T,177,91,268
N3V,10,3,13
N3W,80,26,106
N3Y,53,29,82
N4B,13,7,20
N4G,62,39,101
N4K,93,67,160
N4L,22,18,40
N4N,29,12,41
N4S,95,53,148
N4T,63,32,95
N4V,14,5,19
N4W,37,18,55
N4X,32,29,61
N4Z,8,9,17
N5A,107,71,178
N5C,52,18,70
N5H,24,16,40
N5L,15,9,24
N5N,1,,1
N5P,48,34,82
N5R,64,53,117
N5V,47,34,81
N5W,40,26,66
N5X,156,83,239
N5Y,33,31,64
N5Z,30,37,67
N6A,58,34,92
N6B,21,24,45
N6C,89,69,158
N6E,22,56,78
N6G,206,143,349
N6H,135,74,209
N6J,47,33,80
N6K,172,127,299
N6L,27,15,42
N6M,32,12,44
N6N,7,,7
N6P,73,45,118
N7A,41,32,73
N7G,50,29,79
N7L,42,24,66
N7M,55,31,86
N7S,46,37,83
N7T,29,20,49
N7V,22,10,32
N7W,8,6,14
N7X,13,5,18
N8A,15,10,25
N8H,38,39,77
N8M,25,26,51
N8N,102,58,160
N8P,44,38,82
N8R,16,21,37
N8S,31,33,64
N8T,14,16,30
N8W,41,34,75
N8X,32,18,50
N8Y,29,19,48
N9A,20,35,55
N9B,25,16,41
N9C,9,14,23
N9E,49,38,87
N9G,53,36,89
N9H,61,46,107
N9J,85,54,139
N9K,17,8,25
N9T,1,,1
N9V,58,45,103
N9Y,58,34,92
P0A,37,18,55
P0B,47,18,65
P0C,30,12,42
P0E,11,10,21
P0G,4,7,11
P0H,54,48,102
P0J,23,18,41
P0K,5,5,10
P0L,13,19,32
P0M,60,74,134
