FSA,BEV,PHEV,TotalEV
K0A,472,273,745
K0B,55,48,103
K0C,112,81,193
K0E,81,59,140
K0G,144,79,223
K0H,133,92,225
K0J,51,52,103
K0K,268,176,444
K0L,141,93,234
K0M,84,49,133
K1A,20,49,69
K1B,46,41,87
K1C,140,110,250
K1E,41,29,70
K1G,93,102,195
K1H,79,69,148
K1J,94,85,179
K1K,98,87,185
K1L,33,43,76
K1M,60,49,109
K1N,63,55,118
K1P,17,12,29
K1R,59,27,86
K1S,190,163,353
K1T,148,69,217
K1V,182,146,328
K1W,81,35,116
K1X,30,8,38
K1Y,151,75,226
K1Z,93,62,155
K2A,135,61,196
K2B,75,54,129
K2C,106,64,170
K2E,70,52,122
K2G,193,108,301
K2H,103,75,178
K2J,331,194,525
K2K,164,93,257
K2L,58,49,107
K2M,146,96,242
K2P,57,32,89
K2R,9,7,16
K2S,221,128,349
K2T,78,40,118
K2V,73,31,104
K2W,72,23,95
K4A,263,155,418
K4B,23,22,45
K4C,41,16,57
K4K,87,43,130
K4M,153,49,202
K4P,85,37,122
K4R,31,29,60
K6A,31,22,53
K6H,45,31,76
K6J,15,20,35
K6K,4,3,7
K6T,2,,2
K6V,48,40,88
K7A,24,15,39
K7C,65,39,104
K7G,25,12,37
K7H,59,44,103
K7K,74,48,122
K7L,112,84,196
K7M,118,91,209
K7N,16,9,25
K7P,89,47,136
K7R,30,19,49
K7S,40,17,57
K7V,20,12,32
K8A,26,25,51
K8B,,1,1
K8H,29,27,56
K8J,1,,1
K8N,67,44,111
K8P,21,30,51
K8R,8,8,16
K8V,51,43,94
K9A,80,60,140
K9H,55,43,98
K9J,97,74,171
K9K,33,21,54
K9L,21,19,40
K9V,34,19,53
L0A,63,28,91
L0B,62,40,102
L0C,32,14,46
L0E,52,35,87
L0G,225,98,323
L0H,5,7,12
L0J,72,14,86
L0K,105,56,161
L0L,219,75,294
L0M,125,42,167
L0N,13,6,19
L0P,91,25,116
L0R,378,226,604
L0S,259,160,419
L0T,1,,1
L1A,49,34,83
L1B,43,24,67
L1C,174,71,245
L1E,81,52,133
L1G,76,54,130
L1H,102,45,147
L1J,78,49,127
L1K,149,59,208
L1L,67,27,94
L1M,106,50,156
L1N,194,109,303
L1P,129,56,185
L1R,172,61,233
L1S,160,86,246
L1T,221,82,303
L1V,230,92,322
L1W,84,34,118
L1X,133,36,169
L1Y,20,9,29
L1Z,170,88,258
L2A,42,26,68
L2E,32,25,57
L2G,75,38,113
L2H,95,43,138
L2J,30,22,52
L2L,,1,1
L2M,46,36,82
L2N,85,54,139
L2P,33,22,55
L2R,87,118,205
L2S,59,40,99
L2T,28,18,46
L2V,52,21,73
L2W,8,5,13
L2Y,,1,1
L3B,48,26,74
L3C,65,45,110
L3J,9,12,21
L3K,33,23,56
L3L,3,,3
L3M,181,118,299
L3P,247,103,350
L3R,521,196,717
L3S,200,68,268
L3T,333,126,459
L3V,99,77,176
L3X,320,119,439
L3Y,211,143,354
L3Z,230,76,306
L4A,449,144,593
L4B,503,149,652
L4C,484,179,663
L4E,516,182,698
L4G,495,214,709
L4H,557,146,703
L4J,472,192,664
L4K,233,74,307
L4L,286,85,371
L4M,154,74,228
L4N,352,133,485
L4P,114,52,166
L4R,34,20,54
L4S,327,121,448
L4T,69,35,104
L4V,18,9,27
L4W,150,76,226
L4X,50,14,64
L4Y,53,38,91
L4Z,144,84,228
L5A,85,28,113
L5B,218,106,324
L5C,124,64,188
L5E,66,27,93
L5G,158,76,234
L5H,217,76,293
L5J,138,75,213
L5K,70,28,98
L5L,223,122,345
L5M,606,230,836
L5N,357,168,525
L5P,3,8,11
L5R,158,65,223
L5S,30,7,37
L5T,66,24,90
L5V,191,68,259
L5W,175,39,214
L5X,1,,1
L6A,610,155,765
L6B,303,65,368
L6C,640,196,836
L6E,258,88,346
L6G,58,21,79
L6H,692,316,1008
L6J,411,160,571
L6K,130,107,237
L6L,338,139,477
L6M,650,273,923
L6N,1,,1
L6P,526,120,646
L6R,303,106,409
L6S,136,80,216
L6T,107,78,185
L6V,84,55,139
L6W,71,49,120
L6X,342,89,431
L6Y,463,142,605
L6Z,92,54,146
L7A,362,118,480
L7B,252,67,319
L7C,301,94,395
L7E,205,79,284
L7G,259,130,389
L7H,1,,1
L7J,72,38,110
L7K,68,25,93
L7L,308,183,491
L7M,375,182,557
L7N,104,52,156
L7P,205,101,306
L7R,115,93,208
L7S,57,42,99
L7T,119,67,186
L8B,152,77,229
L8E,168,93,261
L8G,67,33,100
L8H,40,25,65
L8J,114,61,175
L8K,57,52,109
L8L,49,35,84
L8M,25,35,60
L8N,29,26,55
L8P,75,69,144
L8R,18,10,28
L8S,36,32,68
L8T,29,27,56
L8V,24,23,47
L8W,59,41,100
L9A,61,43,104
L9B,77,59,136
L9C,114,91,205
L9E,160,30,190
L9G,179,106,285
L9H,214,146,360
L9J,20,3,23
L9K,140,53,193
L9L,63,25,88
L9M,32,29,61
L9N,170,55,225
L9P,79,52,131
L9R,80,39,119
L9S,157,58,215
L9T,632,220,852
L9V,59,34,93
L9W,207,109,316
L9X,96,28,124
L9Y,142,68,210
L9Z,67,34,101
M1B,176,119,295
M1C,178,78,256
M1E,95,66,161
M1G,33,22,55
M1H,56,35,91
M1J,45,19,64
M1K,50,25,75
M1L,62,28,90
M1M,78,34,112
M1N,83,57,140
