FSA,BEV,PHEV,TotalEV
M1P,74,34,108
M1R,52,27,79
M1S,94,42,136
M1T,57,25,82
M1V,107,45,152
M1W,92,43,135
M1X,58,18,76
M2B,1,,1
M2H,86,40,126
M2J,218,91,309
M2K,118,50,168
M2L,151,46,197
M2M,139,46,185
M2N,407,186,593
M2P,99,25,124
M2R,68,50,118
M3A,209,39,248
M3B,191,58,249
M3C,114,36,150
M3H,152,58,210
M3J,88,28,116
M3K,25,8,33
M3L,26,6,32
M3M,19,11,30
M3N,25,13,38
M3R,,1,1
M4A,28,12,40
M4B,59,29,88
M4C,90,66,156
M4E,128,82,210
M4G,195,81,276
M4H,13,8,21
M4J,116,56,172
M4K,111,66,177
M4L,128,79,207
M4M,112,72,184
M4N,199,79,278
M4P,99,46,145
M4R,94,50,144
M4S,186,38,224
M4T,92,40,132
M4V,169,59,228
M4W,160,64,224
M4X,32,8,40
M4Y,76,26,102
M5A,170,58,228
M5B,29,17,46
M5C,21,8,29
M5E,62,15,77
M5G,45,41,86
M5H,58,19,77
M5J,81,33,114
M5K,4,1,5
M5L,4,,4
M5M,254,109,363
M5N,116,53,169
M5P,180,66,246
M5R,171,66,237
M5S,57,28,85
M5T,36,21,57
M5V,358,63,421
M5X,2,2,4
M6A,46,22,68
M6B,84,38,122
M6C,134,51,185
M6E,71,28,99
M6G,106,53,159
M6H,86,47,133
M6J,126,39,165
M6K,120,45,165
M6L,23,13,36
M6M,38,28,66
M6N,50,41,91
M6P,108,84,192
M6R,76,64,140
M6S,187,106,293
M6X,1,,1
M6Y,1,,1
M6Z,1,,1
M8B,2,,2
M8V,196,77,273
M8W,95,43,138
M8X,118,48,166
M8Y,134,50,184
M8Z,177,97,274
M9A,216,106,322
M9B,190,77,267
M9C,109,57,166
M9L,30,16,46
M9M,30,10,40
M9N,40,27,67
M9P,51,16,67
M9R,50,21,71
M9V,74,37,111
M9W,467,42,509
N0A,76,44,120
N0B,518,261,779
N0C,44,22,66
N0E,64,50,114
N0G,145,98,243
N0H,173,114,287
N0J,66,46,112
N0K,27,20,47
N0L,149,98,247
N0M,149,95,244
N0N,55,49,104
N0P,73,56,129
N0R,128,125,253
N1A,27,10,37
N1C,13,20,33
N1E,155,97,252
N1G,126,79,205
N1H,146,95,241
N1K,38,20,58
N1L,122,60,182
N1M,56,39,95
N1P,25,14,39
N1R,105,59,164
N1S,78,36,114
N1T,94,40,134
N2A,127,64,191
N2B,60,27,87
N2C,37,22,59
N2E,103,44,147
N2G,67,25,92
N2H,102,50,152
N2J,95,34,129
N2K,211,95,306
N2L,164,83,247
N2M,102,55,157
N2N,64,57,121
N2P,163,65,228
N2R,104,39,143
N2S,1,,1
N2T,128,66,194
N2V,118,78,196
N2Z,42,31,73
N3A,90,64,154
N3B,38,18,56
N3C,133,74,207
N3E,21,6,27
N3G,1,,1
N3H,72,34,106
N3L,77,45,122
N3M,1,,1
N3P,12,17,29
N3R,76,59,135
N3S,39,30,69
N3T,130,69,199
N3V,5,2,7
N3W,52,29,81
N3Y,37,27,64
N4B,11,7,18
N4G,37,32,69
N4K,76,68,144
N4L,15,13,28
N4N,23,11,34
N4S,68,51,119
N4T,51,34,85
N4V,9,4,13
N4W,16,11,27
N4X,20,30,50
N4Z,4,9,13
N5A,85,66,151
N5C,40,18,58
N5H,16,19,35
N5L,11,9,20
N5N,1,,1
N5P,36,33,69
N5R,46,52,98
N5V,29,32,61
N5W,27,29,56
N5X,110,74,184
N5Y,29,30,59
N5Z,23,36,59
N6A,47,32,79
N6B,12,26,38
N6C,70,55,125
N6E,12,53,65
N6G,153,129,282
N6H,101,67,168
N6J,31,32,63
N6K,133,111,244
N6L,20,13,33
N6M,24,15,39
N6N,3,,3
N6P,55,40,95
N7A,34,27,61
N7G,34,26,60
N7L,32,22,54
N7M,41,34,75
N7S,34,36,70
N7T,20,21,41
N7V,16,9,25
N7W,5,5,10
N7X,8,3,11
N8A,9,7,16
N8H,30,34,64
N8M,18,21,39
N8N,78,52,130
N8P,28,36,64
N8R,11,21,32
N8S,20,28,48
N8T,8,16,24
N8V,1,,1
N8W,30,36,66
N8X,26,19,45
N8Y,25,13,38
N9A,14,27,41
N9B,18,15,33
N9C,8,16,24
N9E,39,36,75
N9G,40,35,75
N9H,43,40,83
N9J,66,45,111
N9K,8,7,15
N9T,1,,1
N9V,47,42,89
N9Y,39,27,66
P0A,34,15,49
P0B,45,17,62
P0C,21,10,31
P0E,7,7,14
P0G,4,6,10
P0H,32,41,73
P0J,15,18,33
P0K,3,7,10
P0L,10,18,28
P0M,42,63,105
P0N,1,2,3
P0P,9,15,24
P0R,9,4,13
P0S,12,3,15
P0T,18,30,48
P0V,3,7,10
P0W,1,1,2
P0X,7,7,14
P1A,13,12,25
P1B,32,46,78
P1C,16,5,21
P1H,46,22,68
P1L,40,29,69
P1P,21,9,30
P2A,32,12,44
P2B,10,10,20
P2N,,3,3
P3A,37,29,66
P3B,21,18,39
P3C,11,16,27
P3E,79,69,148
P3G,22,17,39
P3L,5,7,12
P3N,4,12,16
P3P,36,32,68
P3Y,11,12,23
P4N,9,17,26
P4P,2,1,3
P4R,4,7,11
P5A,1,3,4
P5E,5,3,8
P5N,5,10,15
P6A,19,27,46
P6B,18,10,28
P6C,6,4,10
P7A,20,36,56
P7B,23,28,51
P7C,13,11,24
P7E,7,19,26
P7G,23,22,45
P7J,9,6,15
P7K,6,5,11
P7L,,3,3
P8N,4,9,13
P8T,5,5,10
P9A,3,6,9
P9N,13,5,18
