FSA,BEV,PHEV,TotalEV
K0A,573,298,871
K0B,57,50,107
K0C,129,86,215
K0E,91,64,155
K0G,164,90,254
K0H,158,109,267
K0J,58,54,112
K0K,311,194,505
K0L,163,99,262
K0M,101,48,149
K1A,23,51,74
K1B,62,48,110
K1C,155,120,275
K1E,47,30,77
K1G,104,102,206
K1H,90,79,169
K1J,111,93,204
K1K,115,92,207
K1L,36,49,85
K1M,69,53,122
K1N,66,63,129
K1P,17,15,32
K1R,62,34,96
K1S,229,177,406
K1T,171,75,246
K1V,208,158,366
K1W,92,43,135
K1X,33,8,41
K1Y,164,81,245
K1Z,105,60,165
K2A,149,70,219
K2B,92,67,159
K2C,116,69,185
K2E,82,54,136
K2G,212,118,330
K2H,118,84,202
K2J,379,212,591
K2K,181,98,279
K2L,64,51,115
K2M,172,99,271
K2P,65,36,101
K2R,14,8,22
K2S,259,138,397
K2T,88,42,130
K2V,85,34,119
K2W,82,24,106
K4A,296,163,459
K4B,29,24,53
K4C,48,21,69
K4K,98,47,145
K4M,190,60,250
K4P,99,42,141
K4R,37,34,71
K5M,1,,1
K6A,32,21,53
K6H,53,39,92
K6J,19,20,39
K6K,4,4,8
K6T,2,,2
K6V,54,45,99
K7A,29,19,48
K7C,73,40,113
K7G,25,12,37
K7H,68,46,114
K7K,83,52,135
K7L,123,91,214
K7M,145,103,248
K7N,21,9,30
K7P,105,48,153
K7R,32,20,52
K7S,46,19,65
K7V,24,12,36
K8A,35,26,61
K8B,,1,1
K8H,38,32,70
K8J,1,,1
K8N,79,48,127
K8P,27,31,58
K8R,9,6,15
K8V,57,51,108
K9A,99,66,165
K9H,60,46,106
K9J,108,81,189
K9K,40,19,59
K9L,21,20,41
K9V,44,27,71
L0A,74,32,106
L0B,68,42,110
L0C,38,16,54
L0E,55,35,90
L0G,275,98,373
L0H,10,7,17
L0J,74,14,88
L0K,142,60,202
L0L,255,78,333
L0M,145,47,192
L0N,15,6,21
L0P,112,28,140
L0R,435,235,670
L0S,314,178,492
L0T,1,,1
L1A,56,35,91
L1B,49,28,77
L1C,198,83,281
L1E,89,51,140
L1G,86,60,146
L1H,126,43,169
L1J,83,61,144
L1K,186,61,247
L1L,85,25,110
L1M,127,50,177
L1N,216,111,327
L1P,173,61,234
L1R,208,62,270
L1S,190,91,281
L1T,271,90,361
L1V,286,103,389
L1W,105,38,143
