FSA,BEV,PHEV,TotalEV
L1X,167,39,206
L1Y,22,9,31
L1Z,201,96,297
L2A,49,27,76
L2E,36,24,60
L2G,83,45,128
L2H,115,54,169
L2J,39,23,62
L2L,,1,1
L2M,53,44,97
L2N,104,55,159
L2P,38,21,59
L2R,96,124,220
L2S,65,43,108
L2T,32,22,54
L2V,66,20,86
L2W,8,4,12
L2Y,,1,1
L3A,1,,1
L3B,58,26,84
L3C,76,48,124
L3E,1,,1
L3J,20,23,43
L3K,39,24,63
L3L,4,,4
L3M,210,129,339
L3N,1,,1
L3P,289,107,396
L3R,613,209,822
L3S,244,79,323
L3T,393,134,527
L3V,130,81,211
L3X,393,119,512
L3Y,243,143,386
L3Z,272,74,346
L4A,523,158,681
L4B,585,149,734
L4C,594,186,780
L4E,613,184,797
L4G,615,228,843
L4H,685,162,847
L4J,559,190,749
L4K,302,82,384
L4L,353,96,449
L4M,177,74,251
L4N,420,148,568
L4P,139,55,194
L4R,42,23,65
L4S,387,125,512
L4T,83,40,123
L4V,24,11,35
L4W,242,80,322
L4X,58,15,73
L4Y,76,41,117
L4Z,176,85,261
L5A,99,32,131
L5B,255,116,371
L5C,146,69,215
L5E,80,28,108
L5G,187,86,273
L5H,247,82,329
L5J,173,80,253
L5K,85,31,116
L5L,265,117,382
L5M,717,237,954
L5N,417,174,591
L5P,3,8,11
L5R,244,80,324
L5S,42,8,50
L5T,101,26,127
L5V,255,70,325
L5W,207,44,251
L5X,1,,1
L6A,728,167,895
L6B,364,72,436
L6C,755,212,967
L6E,314,96,410
L6G,65,20,85
L6H,816,334,1150
L6J,465,180,645
L6K,161,108,269
L6L,412,149,561
L6M,799,283,1082
L6P,697,129,826
L6R,409,107,516
L6S,164,85,249
L6T,117,85,202
L6V,106,57,163
L6W,79,53,132
L6X,408,95,503
L6Y,582,147,729
L6Z,114,57,171
L7A,459,134,593
L7B,308,67,375
L7C,392,104,496
L7E,229,84,313
L7G,330,144,474
L7H,1,,1
L7J,81,42,123
L7K,78,26,104
L7L,375,196,571
L7M,423,191,614
L7N,112,56,168
L7P,232,105,337
L7R,131,96,227
L7S,70,45,115
L7T,138,75,213
L8B,191,93,284
L8E,199,107,306
L8G,82,40,122
L8H,45,28,73
L8J,139,60,199
L8K,67,55,122
L8L,51,32,83
L8M,26,35,61
L8N,35,24,59
L8P,81,78,159
L8R,20,13,33
L8S,45,35,80
L8T,32,29,61
L8V,26,27,53
L8W,74,40,114
L9A,71,42,113
L9B,96,67,163
L9C,135,96,231
L9E,200,32,232
L9G,215,117,332
L9H,243,156,399
L9J,23,3,26
L9K,167,55,222
L9L,69,26,95
L9M,40,32,72
L9N,228,53,281
L9P,102,61,163
L9R,95,38,133
L9S,190,65,255
L9T,753,236,989
L9V,76,43,119
L9W,243,112,355
L9X,110,33,143
L9Y,176,74,250
L9Z,77,35,112
M1B,201,117,318
M1C,205,81,286
M1E,109,73,182
M1G,40,22,62
M1H,71,34,105
M1J,47,19,66
M1K,62,27,89
M1L,74,30,104
M1M,95,39,134
M1N,89,61,150
M1P,89,34,123
M1R,67,31,98
M1S,119,51,170
M1T,65,34,99
M1V,127,45,172
M1W,106,50,156
M1X,78,16,94
M2B,1,,1
M2H,107,46,153
M2J,267,110,377
M2K,148,59,207
M2L,175,56,231
M2M,170,60,230
M2N,470,200,670
M2P,116,29,145
M2R,84,54,138
M3A,244,44,288
M3B,226,63,289
M3C,130,36,166
M3H,177,65,242
M3J,100,33,133
M3K,36,10,46
M3L,33,6,39
M3M,20,8,28
M3N,32,10,42
M3R,,1,1
M4A,29,16,45
M4B,67,28,95
M4C,110,72,182
M4E,142,92,234
M4G,218,85,303
M4H,17,8,25
M4J,128,63,191
M4K,130,74,204
M4L,147,87,234
M4M,134,80,214
M4N,238,84,322
M4P,110,44,154
M4R,100,55,155
M4S,206,42,248
M4T,107,41,148
M4V,189,59,248
M4W,193,66,259
M4X,31,8,39
M4Y,96,30,126
M5A,201,58,259
M5B,33,18,51
M5C,30,8,38
M5E,71,18,89
M5G,52,46,98
M5H,79,20,99
M5J,91,32,123
M5K,6,1,7
M5L,5,,5
M5M,298,119,417
M5N,131,57,188
M5P,207,75,282
M5R,208,73,281
M5S,65,31,96
M5T,52,22,74
M5V,384,76,460
M5X,2,2,4
M6A,51,21,72
M6B,107,43,150
M6C,160,61,221
M6E,80,28,108
M6G,136,65,201
M6H,106,53,159
M6J,152,43,195
M6K,139,51,190
M6L,26,15,41
M6M,50,30,80
M6N,54,42,96
M6P,129,86,215
M6R,98,71,169
M6S,226,118,344
M6Y,1,,1
M6Z,1,,1
M8A,1,,1
M8B,2,,2
M8V,236,78,314
M8W,123,41,164
M8X,131,56,187
M8Y,163,57,220
M8Z,212,111,323
M9A,249,111,360
M9B,215,76,291
M9C,129,65,194
M9L,47,14,61
M9M,42,10,52
M9N,59,29,88
M9P,64,19,83
M9R,59,22,81
M9V,100,39,139
M9W,513,48,561
N0A,85,55,140
N0B,595,287,882
N0C,56,26,82
N0E,81,54,135
N0G,173,105,278
N0H,215,123,338
N0J,80,59,139
N0K,32,25,57
N0L,176,111,287
N0M,179,105,284
N0N,65,55,120
N0P,85,57,142
N0R,163,146,309
N1A,29,11,40
N1C,15,20,35
N1E,179,104,283
N1G,158,79,237
N1H,167,97,264
N1K,44,21,65
N1L,146,67,213
N1M,66,44,110
N1P,31,14,45
N1R,121,60,181
N1S,94,41,135
N1T,102,39,141
N2A,150,67,217
N2B,67,31,98
N2C,40,20,60
N2E,105,47,152
N2G,69,29,98
N2H,120,59,179
N2J,108,39,147
N2K,235,99,334
N2L,183,84,267
N2M,118,58,176
N2N,77,65,142
N2P,195,73,268
N2R,138,42,180
N2S,1,,1
N2T,146,74,220
N2V,133,77,210
N2Z,56,33,89
N3A,109,69,178
N3B,49,22,71
N3C,155,78,233
N3E,22,6,28
N3G,1,,1
N3H,84,33,117
N3K,1,,1
N3L,88,49,137
N3M,1,,1
N3P,14,18,32
N3R,86,58,144
N3S,51,30,81
N3T,157,80,237
N3V,11,2,13
N3W,66,28,94
N3Y,45,28,73
N4B,13,7,20
N4G,50,35,85
N4K,86,67,153
N4L,17,16,33
N4N,26,13,39
N4S,82,50,132
N4T,57,33,90
N4V,11,5,16
N4W,29,16,45
N4X,24,28,52
N4Z,7,9,16
N5A,91,71,162
N5C,49,17,66
N5H,21,18,39
N5L,15,10,25
N5N,1,,1
N5P,46,33,79
N5R,58,52,110
N5V,38,34,72
N5W,35,29,64
N5X,133,79,212
N5Y,32,32,64
N5Z,27,37,64
N6A,55,34,89
N6B,19,24,43
N6C,83,60,143
N6E,16,51,67
N6G,187,138,325
N6H,116,73,189
N6J,38,33,71
N6K,160,125,285
N6L,25,14,39
N6M,28,15,43
N6N,6,,6
N6P,66,43,109
N7A,40,31,71
N7G,44,30,74
N7L,39,24,63
N7M,45,31,76
N7S,42,39,81
N7T,22,19,41
N7V,20,11,31
N7W,7,5,12
N7X,11,3,14
N8A,11,9,20
N8H,34,41,75
N8M,22,26,48
N8N,99,60,159
N8P,37,37,74
N8R,16,21,37
N8S,28,29,57
N8T,12,16,28
N8W,40,35,75
N8X,30,18,48
N8Y,24,19,43
N9A,16,36,52
N9B,23,17,40
N9C,8,14,22
N9E,48,38,86
N9G,45,38,83
N9H,53,46,99
N9J,77,55,132
N9K,14,8,22
N9T,1,,1
N9V,51,47,98
N9Y,49,32,81
P0A,35,20,55
P0B,50,18,68
P0C,28,11,39
P0E,8,10,18
P0G,4,6,10
P0H,47,43,90
P0J,19,18,37
P0K,4,6,10
P0L,9,18,27
P0M,55,71,126
P0N,3,5,8
P0P,15,19,34
P0R,10,5,15
P0S,15,3,18
P0T,24,31,55
P0V,4,6,10
P0W,2,1,3
P0X,11,6,17
P1A,15,15,30
P1B,37,48,85
P1C,18,7,25
P1H,57,25,82
P1L,51,32,83
P1P,27,14,41
P2A,42,13,55
P2B,11,12,23
P2N,1,3,4
P3A,38,31,69
P3B,23,18,41
P3C,17,18,35
P3E,93,70,163
P3G,29,19,48
P3L,5,7,12
P3N,7,11,18
P3P,42,33,75
P3S,1,,1
P3Y,14,10,24
P4N,12,18,30
P4P,2,1,3
P4R,6,8,14
P5A,2,3,5
P5E,6,3,9
P5N,8,12,20
P6A,30,30,60
P6B,25,8,33
P6C,9,4,13
P7A,27,36,63
P7B,29,29,58
P7C,18,14,32
P7E,11,19,30
P7G,28,24,52
P7J,8,6,14
P7K,7,5,12
P7L,2,2,4
P8N,6,8,14
P8T,5,6,11
P9A,3,6,9
P9N,18,8,26
